epoch	hours	top1Accuracy	top5Accuracy
0	0.0012220897277196	0.692	2.756
1	0.0023661623398462	2.825	8.513
2	0.0034884895218743	5.288	14.623
3	0.0045969145827823	6.260	16.546
4	0.0057027842601140	5.671	15.846
5	0.0068137623866399	4.469	12.654
6	0.0079216453101899	6.019	16.629
7	0.0090062752034929	10.93	26.017
8	0.0100897555881076	8.194	20.238
9	0.0111947353680928	6.933	17.744
10	0.0122949861155615	8.848	21.631
11	0.0133891669909159	10.650	25.050
12	0.0144865485694673	11.065	26.679
13	0.0159768048259947	29.573	53.923
14	0.0173074026902516	29.810	54.060
15	0.0186293587419721	33.656	58.190
16	0.0199560783969031	31.048	55.894
17	0.0212748547395070	40.206	66.235
18	0.0225995948579576	30.623	56.246
19	0.0239119391971164	44.921	71.583
20	0.0252307840188344	48.306	74.579
21	0.0265496336751514	54.390	79.558
22	0.0278687520159615	55.492	80.252
23	0.0292069772879282	57.690	81.908
24	0.0319748621066411	68.246	88.623
25	0.0349111036883460	71.092	90.550
26	0.0378364031155904	72.535	91.471
27	0.0428199392000834	75.254	93.023
